Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
Intellectual Property Journal,A,HAB Press Limited,0824-7064,,1984,4801
Intellectual Property Quarterly,C,Sweet & Maxwell,1364-906X,,1997,4801
"Intelligent Systems in Accounting, Finance and Management: An International Journal",B,Wiley-Blackwell Publishing,1055-615X,1099-1174,1996,3501
Interacting with Computers,C,Oxford University Press,0953-5438,1873-7951,1989,4609
Interdisciplinary Environmental Review,C,Inderscience Enterprises Ltd.,1521-0227,2042-6992,1999,3599
Intereconomics: review of European economic policy,C,Springer International Publishing,0020-5346,1613-964X,1966,3801
Internal Auditing,C,Thomson Reuters,0897-0378,,1986,3501
International & Comparative Law Quarterly,A*,Cambridge University Press,0020-5893,1471-6895,1952,4801
International Advances in Economic Research,C,Springer International Publishing,1083-0898,1573-966X,1995,3801
International Affairs,A,Oxford University Press,0020-5850,1468-2346,1922,3599
International and Comparative Corporate Law Journal,A,Kluwer Law International,1388-7084,1875-8290,1999,4801
International Business Lawyer,C,Section on Business Law of the International Bar Association,0309-7676,,1973,4801
International Business Review,A,Elsevier,0969-5931,1873-6149,1992,3507
International Company and Commercial Law Review,B,Sweet & Maxwell,0958-5214,,1990,4801
International Data Privacy Law,C,Oxford University Press,2044-4001,2044-3994,2011,4801
International Development Planning Review,B,Liverpool University Press,1474-6743,1478-3401,1979,3801
International Economic Journal,C,Taylor & Francis Online,1016-8737,1743-517X,1987,3801
International Economic Review,A*,Wiley-Blackwell Publishing,0020-6598,1468-2354,1960,3801
International Economics and Economic Policy,B,Springer International Publishing,1612-4804,1612-4812,2004,3801
International Entrepreneurship and Management Journal,C,Springer International Publishing,1554-7191,1555-1938,2005,3507
"International Environmental Agreements: Politics, Law and Economics",A,Springer International Publishing,1567-9764,1573-1553,2001,3801
International Finance,B,Wiley-Blackwell Publishing,1367-0271,1468-2362,1998,3502
International Gambling Studies,B,Taylor & Francis Online,1445-9795,1479-4276,2001,3504
International Game Theory Review,B,World Scientific Publishing,0219-1989,1793-6675,1999,3803
International Hospitality Review,C,Florida International University,,0739-7011,1984,3504
International Insolvency Review,B,Wiley-Blackwell Publishing,1180-0518,1099-1107,1990,4801
International Insurance Law Review,A,Thomson Reuters,0968-2090,,1993,4801
International Journal of Accounting and Business Finance,C,"Faculty of Management Studies & Commerce, University of Jaffna, Sri Lanka",2448-9867,2448-9875,2018,3501
International Journal of Accounting and Finance,C,Inderscience Enterprises Ltd.,1752-8224,1752-8232,2008,3501
International Journal of Accounting and Information Management,B,Emerald Group Publishing Ltd,1834-7649,1758-9037,1992,3501
International Journal of Accounting Information Systems,A,Elsevier,1467-0895,1873-4723,2000,3501
"International Journal of Accounting, Auditing and Performance Evaluation",C,Inderscience Enterprises Ltd.,1740-8008,1740-8016,2004,3501
International Journal of Advertising,A,Taylor & Francis Online,0265-0487,1759-3948,1982,3506
"International Journal of Agricultural Resources, Governance and Ecology",C,Inderscience Enterprises Ltd,1462-4605,1741-5004,2000,3599
International Journal of Applied Economic Sciences & Applied Research,C,Eastern Macedonia and Thrace Institute of Tech,1791-5120,1791-3373,2008,3801
International Journal of Applied Economics,C,Institute of International Economic Studies,,1548-0003,2004,3801
International Journal of Applied Economics and Econometrics,C,Springer Nature,1530-7247,,1991,3802
International Journal of Applied Management and Technology,C,Walden University School of Management,1544-4740,,2003,3507
International Journal of Arts Management,B,Management International,1480-8986,1480-8986,1966,3504
International Journal of Asian Studies,B,Cambridge University Press,1479-5914,1479-5922,2003,3599
International Journal of Auditing,A,Wiley-Blackwell Publishing,1090-6738,1099-1123,1997,3501
International Journal of Automation Technology,C,Fuji Technology Press,1881-7629,1883-8022,2007,3509
International Journal of Automotive Technology,B,Springer International Publishing,1229-9138,1976-3832,2000,3509
International Journal of Bank Marketing,A,Emerald Group Publishing,0265-2323,1758-5937,1983,3506
"International Journal of Banking, Accounting and Finance",C,Inderscience Publishers,1755-3830,1755-3849,2008,3502
International Journal of Behavioural Accounting and Finance,C,Inderscience Publishers,1753-1969,1753-1977,2008,3501
International Journal of Bonds and Derivatives,C,Inderscience Enterprises Ltd,2050-2281,2050-229X,2014,3502
International Journal of Business,C,Premier Publishing,1083-4346,1083-4346,1992,3507
International Journal of Business and Economics,B,Feng Chia University,1607-0704,,2002,3801
International Journal of Business and Information,C,Academy of Taiwan Information Systems Research,1728-8673,2520-0151‎,2006,3501
International Journal of Business and Society,C,Universiti Malaysia Sarawak,1511-6670,,2000,3501
International Journal of Business Communication,C,Sage Publications,2329-4884,2329-4892,1963,3507
International Journal of Business Information Systems,C,Inderscience Enterprises Ltd.,1746-0972,1746-0980,2005,4609
International Journal of Business Intelligence Research (IJBIR),C,IGI Global,1947-3591,1947-3605,2010,4609
International Journal of Business Law,C,The University of Pennsylvania,2329-261X,,2013,4801
International Journal of Cases on Electronic Commerce,C,IGI Global,1548-0623,1548-0615,2005,4609
International Journal of Central Banking,A,Association of the International Journal of Central Banking,1815-4654,,2005,3801
International Journal of Computational Economics and Econometrics,C,Inderscience Enterprises Ltd.,1757-1170,1757-1189,2009,3802
International Journal of Computer Integrated Manufacturing,B,Taylor & Francis Online,0951-192X,1362-3052,1988,3503
International Journal of Conflict Management,A,Emerald Group Publishing,1044-4068,1758-8545,1990,3505
International Journal of Consumer Studies,A,Wiley-Blackwell Publishing,1470-6423,1470-6431,1977,3506
International Journal of Contemporary Hospitality Management,A,Emerald Group Publishing,0959-6119,1757-1049,1989,3504
International Journal of Cooperative Information Systems,A,World Scientific Publishing,0218-8430,1793-6365,1992,4609
International Journal of Corporate Governance,B,Inderscience Enterprises Ltd.,1754-3037,1754-3045,2008,4801
International Journal of Critical Accounting,C,Inderscience Enterprises Ltd.,1757-9848,1757-9856,2009,3501
International Journal of Cross Cultural Management,B,Sage Publications,1470-5958,1741-2838,2001,3505
International Journal of Cultural Policy,A,Taylor & Francis Online,1028-6632,1477-2833,1994,3504
International Journal of Data Warehousing and Mining,C,IGI Global,1548-3924,1548-3932,2005,4609
International Journal of Development and Conflict,B,Gokhale Institute of Politics and Economics,2010-2704,,2011,3801
International Journal of Development Issues,C,Emerald Group Publishing,1446-8956,1758-8553,2002,3801
International Journal of Disaster Risk Reduction,A,Elsevier,2212-4209,,2012,3599
International Journal of Disclosure and Governance,B,Palgrave Macmillan,1741-3591,1746-6539,2003,3501
International Journal of Economic Perspectives,C,International Economic Society,,1307-1637,2007,3801
International Journal of Economic Policy and Emerging Economies,C,Inderscience Enterprises Ltd.,1752-0452,1752-0460,2007,3801
International Journal of Economic Practices and Theories,C,Open Journal Systems,,2247-7225,2011,3801
International Journal of Economic Theory,B,Wiley-Blackwell Publishing,1742-7355,1742-7363,2005,3803
International Journal of Economics and Accounting,C,Inderscience Enterprises Ltd,2041-868X,2041-8698,2010,3501
International Journal of Economics and Business Research,C,Inderscience Enterprises Ltd.,1756-9850,1756-9869,2009,3801
International Journal of Economics and Financial Issues,C,Econ Journals,2146-4138,,2011,3899
International Journal of Education and Development using Information and Communication Technology,C,University of the West Indies,,1814-0556,2005,4609
International Journal of Educational Management,B,Emerald Group Publishing,0951-354X,1758-6518,1987,3507
International Journal of Electronic Banking,C,Inderscience Enterprises Ltd.,1753-5239,1753-5247,2008,3502
International Journal of Electronic Commerce,A,Taylor & Francis Online,1086-4415,1557-9301,1996,4609
International Journal of Electronic Customer Relationship Management,C,Inderscience Enterprises Ltd.,1750-0664,1750-0672,2007,3506
International Journal of Electronic Finance,C,Inderscience Enterprises Ltd.,1746-0069,1746-0077,2006,3502
International Journal of Electronic Government Research,C,IGI Global,1548-3886,1548-3894,2005,4609
International Journal of Electronic Marketing and Retailing,C,Inderscience Enterprises Ltd.,1741-1025,1741-1033,2006,3506
International Journal of Emergency Services,C,Emerald Group Publishing Ltd,2047-0908,2047-0894,2012,3507
International Journal of Emerging Markets,B,Emerald Group Publishing,1746-8809,1746-8817,2006,3506
International Journal of Employment Studies,C,International Employment Relations Association,1039-6993,,1993,3505
International Journal of Energy Economics and Policy,C,Econ Journals,2146-4553,,2011,3899
International Journal of Energy Sector Management,C,Emerald Group Publishing,1750-6220,1750-6239,2007,3599
International Journal of Enterprise Information Systems,C,IGI Global,1548-1115,1548-1123,2005,4609
International Journal of Enterprise Network Management,B,Inderscience Enterprises Ltd.,1748-1260,1748-1252,2006,3506
International Journal of Entrepreneurial Behaviour and Research,B,Emerald Group Publishing,1355-2554,1758-6534,1995,3507
International Journal of Entrepreneurship and Innovation,C,Sage Publications,1465-7503,2043-6882,2000,3507
International Journal of Environment and Pollution,C,Inderscience Enterprises Ltd.,0957-4352,1741-5101,1991,3599
International Journal of Ethics and Systems,C,Emerald Publishing,2514-9369,,1984,3507
International Journal of Event and Festival Management,B,Emerald Group Publishing Limited,1758-2954,1758-2962,,3508
International Journal of Event Management Research,B,Griffith University,1833-0681,,2005,3508
International Journal of Finance,C,Utex Corporation,1041-2743,,1988,3502
International Journal of Finance & Economics,B,Wiley-Blackwell Publishing,1076-9307,1099-1158,1996,3502
International Journal of Financial Engineering,C,World Scientific,2424-7863,2424-7944,2015,3502
International Journal of Financial Markets and Derivatives,C,Inderscience Enterprises Ltd,1756-7130,1756-7149,2009,3502
International Journal of Financial Services Management,C,Inderscience Enterprises Ltd.,1460-6712,1741-8062,2005,3502
International Journal of Financial Studies,B,MDPI,2227-7072,2227-7072,2013,3502
International Journal of Forecasting,A,Elsevier,0169-2070,1872-8200,1985,3802
International Journal of Game Theory,A,Springer International Publishing,0020-7276,1432-1270,1971,3803
International Journal of Gender and Entrepreneurship,C,Emerald Group Publishing,1756-6266,1756-6274,2009,3507
International Journal of General Systems,A,Taylor & Francis Online,0308-1079,1563-5104,1974,3503
International Journal of Global Business and Competitiveness,C,Springer International Publishing,0973-4619,0976-1888,2005,3507
International Journal of Global Energy Issues,C,Inderscience Enterprises Ltd.,0954-7118,1741-5128,1989,3899
International Journal of Government Auditing,C,International Journal of Government Auditing,0047-0724,,1971,3501
International Journal of Green Economics,C,Inderscience Enterprises Ltd.,1744-9928,1744-9936,2006,3899
International Journal of Health Care Quality Assurance,C,Emerald Group Publishing Limited,0952-6862,1758-6542,1988,3599
International Journal of Health Finance and Economics,B,Springer International Publishing,1389-6563,1573-6962,2001,3801
International Journal of Healthcare Information Systems and Informatics,C,IGI Global,1555-3396,1555-340X,2006,4609
International Journal of Healthcare Management,C,Taylor & Francis Online,2047-9700,2047-9719,2007,3506
International Journal of Heritage Studies,B,Taylor & Francis Online,1352-7258,1470-3610,1994,3508
International Journal of Home Economics,C,International Federation of Home Economics,1999-561X,,2008,3899
International Journal of Hospitality and Tourism Administration,B,Taylor & Francis Online,1525-6480,1525-6499,2000,3508
International Journal of Hospitality Management,A*,Elsevier,0278-4319,1873-4693,1982,3504
International Journal of Housing Markets and Analysis,B,Emerald Group Publishing,1753-8270,1753-8289,2008,3504
International Journal of Housing Policy,B,Taylor & Francis Online,1461-6718,1473-3269,2001,3599
International Journal of Human Resource Management,A,Taylor & Francis Online,0958-5192,1466-4399,1990,3505
International Journal of Human-Computer Interaction,B,Taylor & Francis Online,1044-7318,1532-7590,1989,4609
International Journal of Human-Computer Studies,B,Elsevier,1071-5819,1095-9300,1955,4609
International Journal of Industrial Organization,A,Elsevier,0167-7187,1873-7986,1983,3801
International Journal of Information and Communication Technology Education,C,IGI Global,1550-1876,1550-1337,2005,4609
International Journal of Information and Learning Technology,C,Emerald Group Publishing,2056-4880,2056-4899,1983,4609
International Journal of Information Management,A*,Elsevier,0268-4012,1873-4707,1980,4609
International Journal of Information Security,B,Springer International Publishing,1615-5262,1615-5270,2001,4609
International Journal of Information Security and Privacy,C,IGI Global,1930-1650,1930-1669,2007,4609
International Journal of Information Systems and Change Management,C,Inderscience Enterprises Ltd.,1479-3121,1479-313X,2006,4609
International Journal of Information Systems and Supply Chain Management,C,IGI Global,1935-5726,1935-5734,2008,4609
International Journal of Information Technology and Decision Making,C,World Scientific,0219-6220,1793-6845,2002,4609
International Journal of Information Technology and Web Engineering,C,IGI Global,1554-1045,1554-1053,2006,4609
International Journal of Intellectual Property Management,C,Inderscience Enterprises Ltd.,1478-9647,1478-9655,2006,3801
International Journal of Intelligent Information Technologies,C,IGI Global,1548-3657,1548-3665,2005,4609
International Journal of Intercultural Relations,A,Elsevier,0147-1767,1873-7552,1977,3507
International Journal of Internet and Enterprise Management,C,Inderscience Enterprises Ltd.,1476-1300,1741-5330,2003,4609
